"Word","Written","ListIdentifier","DantzigAuditory","DantzigGustatory","DantzigOlfactory","DantzigVisual","DantzigHaptic","DantzigDominantModality","LynottNounVisualStrengthMean","LynottNounHapticStrengthMean","LynottNounAuditoryStrengthMean","LynottNounOlfactoryStrengthMean","LynottNounGustatoryStrengthMean","LynottNounDominantModality","Auditory_mean","Gustatory_mean","Haptic_mean","Olfactory_mean","Visual_mean","DominantModalityNoun","Valence","AbsValence","AOA","Conc","POS","WordFreq","OriginalPOS","ContentPOS"
"quiet",1,"list1",4.625,0.035,0.205,3.2,0.52,"Auditory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47,1.40615307222422,4.15,2.76,"Adjective",3.7766,"adjective","Adjective"
"red",1.833333333,"list1",0.34,0.965,0.57,4.99,0.465,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,0.606153072224219,3.68,4.24,"Adjective",3.8781,"adjective","Adjective"
"sad",1.769230769,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.96384692777578,3.24,3.07,"Adjective",3.5096,"adjective","Adjective"
"same",0,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.62,2.64,"Determiner",4.3279,"adjective",NA
"scared",1.384615385,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.26384692777578,3.79,2.5,"Adjective",3.8328,"adjective","Adjective"
"sick",2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,2.77384692777578,4.05,2.97,"Adjective",3.9262,"adjective","Adjective"
"sleepy",1.416666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36,0.703846927775781,3.37,2.77,"Adjective",2.6415,"adjective","Adjective"
"slow",1.636363636,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.06384692777578,4.15,3.28,"Adjective",3.5886,"adjective","Adjective"
"soft",2.333333333,"list1",3.6,0.145,0.4,1.095,2.355,"Auditory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,2.06615307222422,3.95,3.88,"Adjective",3.2133,"adjective","Adjective"
"sticky",2.928571429,"list1",0.29,1.895,0.58,3.31,4.91,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,0.413846927775781,4.06,3.59,"Adjective",2.4669,"adjective","Adjective"
"stuck",1.583333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,"Verb",3.5315,"adjective","Verb"
"thirsty",1.764705882,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,0.583846927775781,3.89,3.86,"Adjective",2.798,"adjective","Adjective"
"tiny",3.363636364,"list1",2.61,0.08,0.07,2.805,1.48,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,0.0361530722242183,5.33,3.11,"Adjective",3.2159,"adjective","Adjective"
"tired",0.166666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,0.773846927775781,4.62,3,"Adjective",3.7594,"adjective","Adjective"
"wet",2.25,"list1",1.275,1.62,0.965,4.085,4.17,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,0.576153072224218,2.47,4.46,"Adjective",3.3012,"adjective","Adjective"
"white",0.5,"list1",0.15,0,0.25,4.93,0.57,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,1.11615307222422,4.06,3.89,"Adjective",3.9418,"adjective","Adjective"
"windy",3.4,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.936153072224219,5.39,3.86,"Adjective",2.1303,"adjective","Adjective"
"yellow",0.5,"list1",0.13,0.265,0.175,4.98,0.43,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,1.02615307222422,3.2,4.3,"Adjective",3.2368,"adjective","Adjective"
"yucky",3.461538462,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,1.70384692777578,4.17,1.86,"Adjective",1.3617,"adjective","Adjective"
"bye",1.583333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2.25,"Interjection",3.9631,"exclamation",NA
"hello",2.1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76,2.8,"Interjection",4.4751,"exclamation",NA
"hi",0.8,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,"Interjection",4.4543,"exclamation",NA
"no",2.8125,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.45,"Interjection",5.4837,"exclamation",NA
"thanks",1.416666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73,2.66615307222422,3.53,2.15,"Noun",4.5023,"exclamation","Noun"
"yes",2.25,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31,2.14,"Interjection",5.0079,"exclamation",NA
"a",0.461538462,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89,1.46,"Article",6.0175,"grammar",NA
"about",-0.1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,1.77,"Preposition",5.2677,"grammar",NA
"above",1.0625,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,3.33,"Preposition",3.3969,"grammar",NA
"after",0.75,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2.12,"Preposition",4.5417,"grammar",NA
"all",-0.1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,2.27,"Determiner",5.4204,"grammar",NA
"am",0.583333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,"Verb",4.7516,"grammar","Verb"
"an",-0.642857143,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,"Article",4.9781,"grammar",NA
"and",0.5625,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,1.52,"Conjunction",5.8343,"grammar",NA
"another",0.117647059,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2.69,"Determiner",4.4145,"grammar",NA
"any",-0.3125,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.72,"Determiner",4.7487,"grammar",NA
"are",-0.9,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,"Verb",5.4243,"grammar","Verb"
"around",0.6,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,1.96,"Adverb",4.5749,"grammar","Adverb"
"at",-0.166666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,2.07,"Preposition",5.215,"grammar",NA
"away",0.75,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,2.23,"Adverb",4.5714,"grammar","Adverb"
"be",0.384615385,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,1.11615307222422,5.11,1.85,"Verb",5.467,"grammar","Verb"
"because",0.214285714,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,1.22,"Conjunction",4.7374,"grammar",NA
"before",-0.5,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,1.96,"Conjunction",4.6075,"grammar",NA
"behind",1.545454545,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,3.48,"Preposition",3.9815,"grammar",NA
"but",0,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,2.04,"Conjunction",5.3527,"grammar",NA
"by",0.272727273,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,1.55,"Preposition",4.8348,"grammar",NA
"could",-1.454545455,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,"Verb",4.9197,"grammar","Verb"
"did",0.466666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,"Verb",5.077,"grammar","Verb"
"do",0.846153846,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,0.346153072224219,3.6,2.46,"Verb",5.4954,"grammar","Verb"
"does",-0.6,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,"Verb",4.5315,"grammar","Verb"
"down ",1.909090909,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grammar",NA
"each",0.666666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,2.03,"Pronoun",4.1112,"grammar",NA
"every",0.25,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,2.28,"Article",4.4473,"grammar",NA
"for",-1.4,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,1.63,"Preposition",5.5461,"grammar",NA
"gonna",-0.4,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,NA,"#N/A",5.0078,"grammar",NA
"gotta",0,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#N/A",4.4125,"grammar",NA
"he",1.058823529,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,3.93,"Pronoun",5.5905,"grammar",NA
"her",0.7,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09,3,"Pronoun",5.1603,"grammar",NA
"here",-0.2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74,3.13,"Adverb",5.3632,"grammar","Adverb"
"hers",1.214285714,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,2.61,"Pronoun",2.9047,"grammar",NA
"him",0.583333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43,3.54,"Pronoun",5.2497,"grammar",NA
"his",0.588235294,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,3.14,"Pronoun",5.0349,"grammar",NA
"how",0.461538462,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,1.35,"Adverb",5.1928,"grammar","Adverb"
"I",3.181818182,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,3.93,"Pronoun",6.3093,"grammar",NA
"if",0.636363636,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,1.19,"Conjunction",5.2567,"grammar",NA
"in",1.461538462,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.69,3,"Preposition",5.6976,"grammar",NA
"inside",0.9,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77,3.67,"Adverb",4.0325,"grammar","Adverb"
