Lexical class,English word,Experiment 1 (written words),Experiment 2 (spoken words),Experiment 5 (alien accuracy)
noun,ladder,1.384615385,0.769230769,21.4
noun,lady,-0.076923077,1.083333333,43.6
noun,lamb,0.416666667,0.272727273,25
noun,lamp,0.071428571,0.307692308,26
noun,leg,0.315789474,-0.1875,40.95238095
noun,light,0.9,1.9,56.77777778
noun,lion,-0.352941176,0,42.21428571
noun,lips,2.307692308,1.235294118,39.23076923
noun,lollipop,1.333333333,-0.615384615,24.16666667
noun,lunch,0.5,1.5,29
noun,man,0.647058824,1,41
noun,meat,0.2,0.266666667,48.81818182
noun,medicine,1.272727273,1.666666667,27.27777778
noun,melon,-0.214285714,0,34.85714286
noun,milk,0.733333333,-0.083333333,39.63636364
noun,mittens,0,0.1875,44.375
noun,mommy,1.4,1.461538462,65.73333333
noun,money,-0.6,1,36.2
noun,monkey,0.285714286,1.3,21.72727273
noun,moon,0.1,0.6,34.57142857
noun,moose,0.3,-0.181818182,8.636363636
noun,mop,1.8125,0.285714286,52.6
noun,morning,-1.8,-0.352941176,41.3125
noun,mouse,0,0.545454545,30.10526316
noun,mouth,1.333333333,1.5625,42.375
noun,movie,0.285714286,0,30.2
noun,muffin,1.076923077,1.076923077,31.41176471
noun,nail,0.181818182,0.909090909,26.5
noun,napkin,-0.545454545,0.375,30.53846154
noun,night,1.090909091,-0.5,42.7
noun,noodles,1.714285714,1.75,34.45454545
noun,nose,0.25,0.25,48.89473684
noun,nurse,1,-0.1,24.9
noun,nuts,0.545454545,0.4,44.54545455
noun,oven,0.133333333,1.142857143,33.59090909
noun,owie,2.538461538,2.352941176,58.57142857
noun,owl,0.090909091,0.333333333,33.69230769
noun,pajamas,-0.588235294,-1.333333333,18.72222222
noun,pants,-0.153846154,-0.538461538,36.4
noun,paper,0.416666667,0.642857143,30.85714286
noun,park,0.384615385,-0.181818182,17.07692308
noun,party,1.923076923,-0.1,52
noun,peas,0.454545455,0.615384615,21.26666667
noun,pen,0.6875,-0.2,35.9
noun,pencil,0.625,-0.9,27.9
noun,penguin,-1.583333333,-0.5,21.90909091
noun,penis,-0.2,0.636363636,36.18181818
noun,penny,-0.2,-0.125,31.125
noun,people,0.6,0.916666667,50.11764706
noun,person,-0.2,1.166666667,35.3
noun,pickle,1.545454545,1,36.58333333
noun,picnic,-0.538461538,-0.166666667,17.52941176
noun,picture,-0.071428571,-0.181818182,36.27777778
noun,pig,0.5,1.083333333,50.1
noun,pillow,0.466666667,0.2,52.46666667
noun,pizza,0.7,0.75,24.16666667
noun,plant,-0.2,0.181818182,34.1
noun,plate,0.928571429,1,49.35714286
noun,police,0.058823529,-0.181818182,37.38461538
noun,pony,-0.071428571,-0.454545455,38.375
noun,pool,0.3,0.818181818,36.45454545
noun,popsicle,0.5,-0.166666667,32
noun,porch,-0.6,-0.5,27.4375
noun,potato,0.857142857,0.181818182,33.66666667
noun,potty,0.7,-0.076923077,31.75
noun,present,0.307692308,-0.583333333,22.5
noun,pretzel,0.181818182,1.454545455,45.78571429
noun,pudding,0.3,1,8.636363636
noun,pumpkin,-0.583333333,0.666666667,25.7
noun,puppy,0.666666667,2.727272727,32.42857143
noun,purse,-1.636363636,-0.8,29.23076923
noun,puzzle,1.666666667,0.5,26.1
noun,radio,0.583333333,-0.416666667,39.92307692
noun,rain,0.333333333,0.636363636,50.6
noun,raisin,0,-0.933333333,19.1
noun,refrigerator,0.571428571,0.7,29.23076923
noun,rock,1.272727273,1.454545455,54.66666667
noun,roof,-0.25,1.090909091,25.2
noun,room,0.058823529,0.583333333,25
noun,rooster,0.833333333,0.545454545,36.41666667
noun,salt,-0.090909091,0.076923077,24.5
noun,sandwich,-0.133333333,-0.461538462,32.84615385
noun,sauce,1.166666667,1.625,32.14285714
noun,scarf,0.416666667,0.083333333,25.66666667
noun,school,-0.214285714,0.230769231,45.1
noun,scissors,1.75,0.833333333,35.4
noun,sheep,1,0.6,39.875
noun,shirt,-0.375,-0.7,33.38461538
noun,shoe,-0.3125,0.916666667,44.72727273
noun,shopping,1.411764706,0.384615385,42.53846154
noun,shorts,0.5625,0.769230769,25.4
noun,shoulder,-0.5,0.3125,30.94117647
noun,shovel,1.2,1.272727273,47.36842105
noun,shower,0.941176471,-0.181818182,38.81818182
noun,sink,0.5,1.1,29.13333333
noun,sister,0.533333333,0.692307692,36
noun,sky,0,-0.5,37.72727273
noun,sled,0.6,1.166666667,42.11764706
noun,slipper,1.538461538,0.416666667,30.4
noun,snack,0.583333333,2.2,40.28571429
noun,sneaker,0,-1.230769231,31.66666667
noun,snow,0.25,0.357142857,51.75
noun,soap,0.214285714,2.1,32.14285714
noun,sock,0.090909091,0.266666667,33.44444444
noun,soda,0.705882353,0.357142857,47.33333333
noun,sofa,-0.4,0.692307692,46.5
noun,soup,1,0.272727273,41.16666667
noun,spaghetti,1.066666667,1.727272727,23.5
noun,spoon,0.3,1.454545455,36.2
noun,sprinkler,1.894736842,2.166666667,31.63636364
noun,squirrel,0.363636364,-0.133333333,25.5625
noun,stairs,1.461538462,-0.214285714,46.41666667
noun,star,1.583333333,1.363636364,55
noun,stick,1.928571429,0.75,48.90909091
noun,stone,1.272727273,1.166666667,40
noun,store,-0.875,-0.0625,30.93333333
noun,story,0.454545455,1.230769231,28.3
noun,stove,-0.3,0.181818182,26.30769231
noun,strawberry,0.375,0.666666667,26.3
noun,street,-0.181818182,0.5,27
noun,stroller,0.785714286,2.181818182,43.35294118
noun,sun,-0.090909091,-0.090909091,52.27777778
noun,sweater,0.4,1.230769231,23.6
noun,table,-0.125,0.25,49.58823529
noun,tape,0.5,1.307692308,31.3
noun,teacher,0.9375,0.583333333,51.66666667
noun,tiger,0.7,1.166666667,39.08333333
noun,tights,1.727272727,3.3,43.23529412
noun,time,-0.7,-0.727272727,40.41666667
noun,tissue,1.692307692,1.769230769,30.23529412
noun,toast,0.545454545,0,29.11111111
noun,today,0.416666667,0.785714286,24.81818182
noun,toe,0.142857143,0.75,39.4
noun,tomorrow,1.7,0.083333333,41.57142857
noun,tongue,-1,0.363636364,41.72727273
noun,tonight,0.615384615,0.416666667,37.58333333
